 ,0
e,1
t,2
a,3
o,4
n,5
i,6
h,7
s,8
r,9
d,10
l,11
u,12
"
",13
c,14
m,15
w,16
f,17
g,18
y,19
",",20
p,21
b,22
.,23
v,24
k,25
"""",26
I,27
',28
T,29
A,30
P,31
-,32
H,33
!,34
x,35
N,36
B,37
M,38
?,39
R,40
S,41
W,42
q,43
z,44
j,45
E,46
C,47
D,48
F,49
O,50
G,51
Y,52
K,53
;,54
V,55
:,56
L,57
X,58
),59
(,60
1,61
J,62
*,63
U,64
8,65
0,66
2,67
Z,68
3,69
6,70
5,71
7,72
9,73
Q,74
/,75
4,76
ê,77
à,78
$,79
=,80
@,81
[,82
ä,83
é,84
],85
#,86
%,87
﻿,88
